FECHA (YYMMDD);Registros validados
2013-01-21;7.31799
2013-01-22;4.59499
2013-01-22;3.233
2013-01-22;6.63699
2013-01-22;7.99899
2013-01-22;15.49
2013-01-22;17.53
2013-01-22;23.66
2013-01-22;20.25
2013-01-22;22.29
2013-01-22;20.93
2013-01-22;20.93
2013-01-22;19.57
2013-01-22;19.57
2013-01-22;20.25
2013-01-22;18.21
2013-01-22;15.48
2013-01-22;12.08
2013-01-22;20.93
2013-01-22;14.12
2013-01-22;18.21
2013-01-22;17.53
2013-01-22;10.72
2013-01-22;7.99899
2013-01-22;14.81
2013-01-23;5.95599
2013-01-23;6.63699
2013-01-23;5.95599
2013-01-23;7.99899
2013-01-23;10.72
2013-01-23;10.04
2013-01-23;14.13
2013-01-23;14.13
2013-01-23;11.4
2013-01-23;14.13
2013-01-23;8.67998
2013-01-23;9.35999
2013-01-23;7.31599
2013-01-23;4.59399
2013-01-23;3.233
2013-01-23;2.552
2013-01-23;4.59399
2013-01-23;8.67998
2013-01-23;8.67998
2013-01-23;9.35999
2013-01-23;10.04
2013-01-23;16.85
2013-01-23;4.59499
2013-01-23;6.63699
2013-01-24;8.67998
2013-01-24;7.31799
2013-01-24;4.59499
2013-01-24;4.935
2013-01-24;3.914
2013-01-24;3.914
2013-01-24;7.31799
2013-01-24;6.63699
2013-01-24;5.95599
2013-01-24;4.935
2013-01-24;3.233
2013-01-24;1.872
2013-01-24;2.552
2013-01-24;2.552
2013-01-24;1
2013-01-24;1
2013-01-24;1
2013-01-24;3.914
2013-01-24;7.31699
2013-01-24;5.95599
2013-01-24;16.85
2013-01-24;14.13
2013-01-24;7.99899
2013-01-24;7.99899
2013-01-25;4.59499
2013-01-25;3.233
2013-01-25;5.95599
2013-01-25;4.59499
2013-01-25;3.914
2013-01-25;3.914
2013-01-25;7.99899
2013-01-25;9.35999
2013-01-25;6.297
2013-01-25;6.63699
2013-01-25;6.63699
2013-01-25;6.63699
2013-01-25;7.99699
2013-01-25;5.27499
2013-01-25;3.914
2013-01-25;3.913
2013-01-25;4.59399
2013-01-25;4.59399
2013-01-25;5.27499
2013-01-25;7.99699
2013-01-25;11.4
2013-01-25;12.08
2013-01-25;11.4
2013-01-25;14.81
2013-01-26;10.72
2013-01-26;14.81
2013-01-26;12.76
2013-01-26;15.49
2013-01-26;13.44
2013-01-26;12.76
2013-01-26;15.49
2013-01-26;10.04
2013-01-26;14.13
2013-01-26;16.17
2013-01-26;14.13
2013-01-26;14.12
2013-01-26;5.95499
2013-01-26;6.296
2013-01-26;4.59399
2013-01-26;3.914
2013-01-26;7.99699
2013-01-26;6.63599
2013-01-26;3.914
2013-01-26;3.914
2013-01-26;7.31799
2013-01-26;10.72
2013-01-26;15.49
2013-01-26;13.1
2013-01-27;12.08
2013-01-27;14.13
2013-01-27;14.13
2013-01-27;13.44
2013-01-27;17.53
2013-01-27;15.49
2013-01-27;23.66
2013-01-27;21.61
2013-01-27;18.89
2013-01-27;18.89
2013-01-27;17.53
2013-01-27;14.12
2013-01-27;10.72
2013-01-27;9.35999
2013-01-27;6.63599
2013-01-27;5.95499
2013-01-27;5.95499
2013-01-27;4.59399
2013-01-27;5.27499
2013-01-27;7.31699
2013-01-27;9.35999
2013-01-27;9.35999
2013-01-27;9.35999
2013-01-27;10.72
2013-01-28;10.04
2013-01-28;9.7
2013-01-28;7.99899
2013-01-28;5.95599
2013-01-28;6.297
2013-01-28;8.67998
2013-01-28;10.72
2013-01-28;10.04
2013-01-28;8.67998
2013-01-28;8.67998
2013-01-28;9.35999
2013-01-28;10.72
2013-01-28;10.04
2013-01-28;9.35999
2013-01-28;7.99699
2013-01-28;7.31699
2013-01-28;6.296
2013-01-28;4.59499
2013-01-28;5.27599
2013-01-28;7.99899
2013-01-28;7.99899
2013-01-28;7.99899
2013-01-28;8.34
2013-01-28;5.95599
2013-01-29;4.59499
2013-01-29;5.27599
2013-01-29;5.27599
2013-01-29;3.233
2013-01-29;3.914
2013-01-29;5.27599
2013-01-29;7.99899
2013-01-29;7.99899
2013-01-29;9.35999
2013-01-29;10.72
2013-01-29;11.4
2013-01-29;9.01999
2013-01-29;7.31699
2013-01-29;9.35999
2013-01-29;7.99699
2013-01-29;5.95499
2013-01-29;5.95499
2013-01-29;7.31699
2013-01-29;7.99699
2013-01-29;20.25
2013-01-29;22.97
2013-01-29;21.61
2013-01-29;15.49
2013-01-29;23.66
2013-01-30;19.57
2013-01-30;12.76
2013-01-30;10.72
2013-01-30;10.72
2013-01-30;11.4
2013-01-30;15.49
2013-01-30;13.44
2013-01-30;13.1
2013-01-30;12.76
2013-01-30;10.72
2013-01-30;8.67998
2013-01-30;10.04
2013-01-30;10.04
2013-01-30;4.59399
2013-01-30;3.233
2013-01-30;5.27499
2013-01-30;10.72
2013-01-30;9.35999
2013-01-30;10.04
2013-01-30;11.4
2013-01-30;11.4
2013-01-30;15.49
2013-01-30;10.72
2013-01-30;11.4
2013-01-31;17.53
2013-01-31;13.44
2013-01-31;14.81
2013-01-31;12.08
2013-01-31;18.21
2013-01-31;17.53
2013-01-31;22.29
2013-01-31;20.93
2013-01-31;16.85
2013-01-31;16.85
2013-01-31;22.97
2013-01-31;18.21
2013-01-31;13.44
2013-01-31;13.1
2013-01-31;13.1
2013-01-31;9.35999
2013-01-31;16.16
2013-01-31;8.67998
2013-01-31;7.99699
2013-01-31;9.35999
2013-01-31;11.4
2013-01-31;12.76
2013-01-31;12.76
2013-01-31;16.17
2013-02-01;17.53
2013-02-01;14.81
2013-02-01;12.76
2013-02-01;12.76
2013-02-01;14.13
2013-02-01;15.49
2013-02-01;13.44
2013-02-01;13.44
2013-02-01;16.17
2013-02-01;20.25
2013-02-01;10.04
2013-02-01;8.67998
2013-02-01;5.95499
2013-02-01;6.63599
2013-02-01;9.35999
2013-02-01;8.67998
2013-02-01;9.01999
2013-02-01;12.08
2013-02-01;10.72
2013-02-01;10.04
2013-02-01;10.72
2013-02-01;7.31799
2013-02-01;6.297
2013-02-01;7.31799
2013-02-02;5.27599
2013-02-02;3.914
2013-02-02;3.914
2013-02-02;5.616
2013-02-02;6.63699
2013-02-02;8.67998
2013-02-02;8.67998
2013-02-02;6.63699
2013-02-02;7.31799
2013-02-02;10.04
2013-02-02;6.63699
2013-02-02;3.914
2013-02-02;3.914
2013-02-02;4.59399
2013-02-02;3.913
2013-02-02;2.552
2013-02-02;3.233
2013-02-02;4.59399
2013-02-02;3.914
2013-02-02;15.48
2013-02-02;11.4
2013-02-02;11.4
2013-02-02;20.93
2013-02-02;13.44
2013-02-03;14.13
2013-02-03;17.53
2013-02-03;15.49
2013-02-03;18.21
2013-02-03;14.81
2013-02-03;12.08
2013-02-03;14.81
2013-02-03;16.17
2013-02-03;12.76
2013-02-03;11.4
2013-02-03;11.4
2013-02-03;12.08
2013-02-03;10.04
2013-02-03;8.67998
2013-02-03;5.27499
2013-02-03;5.27499
2013-02-03;3.913
2013-02-03;3.914
2013-02-03;3.913
2013-02-03;5.95499
2013-02-03;15.48
2013-02-03;16.85
2013-02-03;14.81
2013-02-03;18.21
2013-02-04;16.85
2013-02-04;13.44
2013-02-04;11.4
2013-02-04;11.4
2013-02-04;10.72
2013-02-04;7.31799
2013-02-04;8.67998
2013-02-04;9.35999
2013-02-04;8.67998
2013-02-04;6.297
2013-02-04;7.31699
2013-02-04;6.63599
2013-02-04;5.95499
2013-02-04;7.31699
2013-02-04;10.04
2013-02-04;11.4
2013-02-04;8.67998
2013-02-04;1.872
2013-02-04;1
2013-02-04;5.95499
2013-02-04;20.93
2013-02-04;18.89
2013-02-04;19.57
2013-02-04;16.17
2013-02-05;7.31799
2013-02-05;6.63699
2013-02-05;5.27599
2013-02-05;4.59499
2013-02-05;3.914
2013-02-05;7.31799
2013-02-05;7.99899
2013-02-05;7.99899
2013-02-05;6.63699
2013-02-05;5.95599
2013-02-05;6.63699
2013-02-05;14.12
2013-02-05;15.82
2013-02-05;15.82
2013-02-05;11.4
2013-02-05;15.48
2013-02-05;16.16
2013-02-05;16.16
2013-02-05;12.76
2013-02-05;10.04
2013-02-05;10.72
2013-02-05;11.4
2013-02-05;14.81
2013-02-05;14.13
2013-02-06;12.08
2013-02-06;10.72
2013-02-06;10.72
2013-02-06;11.4
2013-02-06;10.72
2013-02-06;10.72
2013-02-06;16.17
2013-02-06;16.85
2013-02-06;22.29
2013-02-06;14.13
2013-02-06;14.8
2013-02-06;13.78
2013-02-06;11.4
2013-02-06;11.4
2013-02-06;14.8
2013-02-06;12.76
2013-02-06;18.89
2013-02-06;20.93
2013-02-06;16.16
2013-02-06;10.72
2013-02-06;15.48
2013-02-06;11.4
2013-02-06;10.72
2013-02-06;10.04
2013-02-07;9.01999
2013-02-07;7.99899
2013-02-07;7.31799
2013-02-07;7.99899
2013-02-07;10.72
2013-02-07;12.76
2013-02-07;16.85
2013-02-07;21.61
2013-02-07;20.25
2013-02-07;19.57
2013-02-07;16.17
2013-02-07;18.21
2013-02-07;11.4
2013-02-07;19.57
2013-02-07;11.4
2013-02-07;17.53
2013-02-07;17.53
2013-02-07;14.12
2013-02-07;18.21
2013-02-07;14.8
2013-02-07;11.4
2013-02-07;11.4
2013-02-07;10.04
2013-02-07;9.7
2013-02-08;10.72
2013-02-08;10.72
2013-02-08;9.35999
2013-02-08;10.72
2013-02-08;11.4
2013-02-08;14.81
2013-02-08;17.53
2013-02-08;21.61
2013-02-08;17.53
2013-02-08;19.57
2013-02-08;12.08
2013-02-08;9.35999
2013-02-08;10.04
2013-02-08;13.1
2013-02-08;12.76
2013-02-08;12.08
2013-02-08;10.04
2013-02-08;10.72
2013-02-08;12.08
2013-02-08;11.4
2013-02-08;10.04
2013-02-08;10.04
2013-02-08;12.08
2013-02-08;9.35999
2013-02-09;5.95599
2013-02-09;9.35999
2013-02-09;10.72
2013-02-09;10.72
2013-02-09;12.08
2013-02-09;11.4
2013-02-09;11.4
2013-02-09;14.13
2013-02-09;14.81
2013-02-09;12.76
2013-02-09;13.44
2013-02-09;19.57
2013-02-09;18.21
2013-02-09;22.97
2013-02-09;13.44
2013-02-09;12.08
2013-02-09;10.04
2013-02-09;8.67998
2013-02-09;6.63599
2013-02-09;4.59499
2013-02-09;5.27599
2013-02-09;6.63699
2013-02-09;5.95599
2013-02-09;6.63699
2013-02-10;7.31799
2013-02-10;5.27599
2013-02-10;6.297
2013-02-10;8.67998
2013-02-10;7.99899
2013-02-10;10.04
2013-02-10;8.67998
2013-02-10;7.31799
2013-02-10;7.99899
2013-02-10;6.63699
2013-02-10;6.63699
2013-02-10;14.13
2013-02-10;5.95599
2013-02-10;7.31799
2013-02-10;5.27499
2013-02-10;3.233
2013-02-10;5.27499
2013-02-10;6.63599
2013-02-10;4.59399
2013-02-10;3.914
2013-02-10;6.63699
2013-02-10;7.31799
2013-02-10;8.67998
2013-02-10;21.61
2013-02-11;10.04
2013-02-11;10.72
2013-02-11;9.35999
2013-02-11;6.63699
2013-02-11;4.59499
2013-02-11;3.914
2013-02-11;5.95599
2013-02-11;11.4
2013-02-11;18.21
2013-02-11;16.85
2013-02-11;11.4
2013-02-11;10.72
2013-02-11;7.99699
2013-02-11;4.59399
2013-02-11;5.95499
2013-02-11;7.31699
2013-02-11;7.31699
2013-02-11;8.67998
2013-02-11;7.31799
2013-02-11;5.27599
2013-02-11;7.99899
2013-02-11;8.67998
2013-02-11;5.27599
2013-02-11;5.27599
2013-02-12;7.31799
2013-02-12;7.99899
2013-02-12;8.67998
2013-02-12;7.99899
2013-02-12;7.31799
2013-02-12;7.99899
2013-02-12;20.93
2013-02-12;14.81
2013-02-12;14.13
2013-02-12;8.67998
2013-02-12;5.616
2013-02-12;6.63599
2013-02-12;10.04
2013-02-12;5.27499
2013-02-12;5.95499
2013-02-12;9.35999
2013-02-12;9.01999
2013-02-12;10.04
2013-02-12;9.35999
2013-02-12;9.01999
2013-02-12;7.99899
2013-02-12;19.57
2013-02-12;10.72
2013-02-12;10.04
2013-02-13;9.35999
2013-02-13;7.99899
2013-02-13;5.95599
2013-02-13;3.914
2013-02-13;5.95599
2013-02-13;7.31799
2013-02-13;7.99899
2013-02-13;7.99899
2013-02-13;8.67998
2013-02-13;7.99899
2013-02-13;7.99899
2013-02-13;7.31699
2013-02-13;4.59399
2013-02-13;5.95499
2013-02-13;5.95499
2013-02-13;6.63599
2013-02-13;7.99699
2013-02-13;6.63599
2013-02-13;7.31699
2013-02-13;17.53
2013-02-13;11.4
2013-02-13;10.04
2013-02-13;10.72
2013-02-13;12.08
2013-02-14;12.08
2013-02-14;7.31799
2013-02-14;7.99899
2013-02-14;10.04
2013-02-14;9.01999
2013-02-14;10.72
2013-02-14;31.48
2013-02-14;12.08
2013-02-14;12.08
2013-02-14;8.67998
2013-02-14;6.296
2013-02-14;3.912
2013-02-14;3.231
2013-02-14;2.55
2013-02-14;3.23
2013-02-14;4.589
2013-02-14;5.269
2013-02-14;9.34998
2013-02-14;12.07
2013-02-14;7.989
2013-02-14;8.67
2013-02-14;10.71
2013-02-14;9.34998
2013-02-14;10.03
2013-02-15;10.03
2013-02-15;7.992
2013-02-15;5.953
2013-02-15;5.953
2013-02-15;5.953
2013-02-15;8.67
2013-02-15;12.76
2013-02-15;12.08
2013-02-15;11.4
2013-02-15;9.34998
2013-02-15;4.591
2013-02-15;3.911
2013-02-15;3.91
2013-02-15;3.91
2013-02-15;5.269
2013-02-15;5.269
2013-02-15;5.949
2013-02-20;15.48
2013-02-20;19.57
2013-02-20;16.85
2013-02-20;15.49
2013-02-20;12.76
2013-02-21;14.13
2013-02-21;10.72
2013-02-21;10.72
2013-02-21;8.34001
2013-02-21;7.999
2013-02-21;8.67999
2013-02-21;7.999
2013-02-21;5.616
2013-02-21;5.956
2013-02-21;5.956
2013-02-21;7.999
2013-02-21;5.276
2013-02-21;3.91401
2013-02-21;6.636
2013-02-21;5.95499
2013-02-21;6.29601
2013-02-21;5.61501
2013-02-21;5.95499
2013-02-21;6.636
2013-02-21;10.04
2013-02-21;21.61
2013-02-21;12.08
2013-02-21;14.13
2013-02-21;13.44
2013-02-22;12.76
2013-02-22;16.17
2013-02-22;12.08
2013-02-22;10.04
2013-02-22;9.36
2013-02-22;10.72
2013-02-22;14.81
2013-02-22;12.08
2013-02-22;12.08
2013-02-22;11.4
2013-02-22;9.36
2013-02-22;5.275
2013-02-22;1.872
2013-02-22;3.91301
2013-02-22;4.25401
2013-02-22;3.91401
2013-02-22;4.59399
2013-02-22;3.91401
2013-02-22;5.275
2013-02-22;5.275
2013-02-22;5.956
2013-02-22;10.04
2013-02-22;7.658
2013-02-22;3.91401
2013-02-23;3.23301
2013-02-23;3.91401
2013-02-23;6.637
2013-02-23;6.637
2013-02-23;3.91401
2013-02-23;5.276
2013-02-23;7.318
2013-02-23;7.999
2013-02-23;7.318
2013-02-23;8.34001
2013-02-23;8.67999
2013-02-23;5.276
2013-02-23;3.23301
2013-02-23;4.59399
2013-02-23;4.59399
2013-02-23;3.23301
2013-02-23;3.91401
2013-02-23;4.59399
2013-02-23;3.91401
2013-02-23;4.255
2013-02-23;5.276
2013-02-23;6.637
2013-02-23;9.36
2013-02-23;8.67999
2013-02-24;4.59499
2013-02-24;3.233
2013-02-24;2.553
2013-02-24;3.914
2013-02-24;3.233
2013-02-24;1.191
2013-02-24;1
2013-02-24;3.233
2013-02-24;3.914
2013-02-24;3.914
2013-02-24;3.914
2013-02-24;4.59399
2013-02-24;2.552
2013-02-24;3.914
2013-02-24;3.914
2013-02-24;3.914
2013-02-24;3.914
2013-02-24;4.59499
2013-02-24;3.914
2013-02-24;3.914
2013-02-24;3.914
2013-02-25;3.914
2013-02-25;3.233
2013-02-25;3.233
2013-02-25;1
2013-02-25;1.532
2013-02-25;3.914
2013-02-25;3.914
2013-02-25;5.27599
2013-02-25;5.27599
2013-02-25;4.59499
2013-02-25;3.914
2013-02-25;4.59399
2013-02-25;5.95499
2013-02-25;3.913
2013-02-25;3.914
2013-02-25;5.27499
2013-02-25;5.27499
2013-02-25;4.934
2013-02-25;7.99699
2013-02-25;9.35999
2013-02-25;10.04
2013-02-25;13.44
2013-02-25;14.13
2013-02-25;14.13
2013-02-26;10.72
2013-02-26;11.4
2013-02-26;7.99899
2013-02-26;5.95599
2013-02-26;7.31799
2013-02-26;7.99899
2013-02-26;8.67998
2013-02-26;10.04
