FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
091129;0000;;;7,85497;
091130;0000;;;10,2777;
091201;0000;;;7,72665;
091202;0000;;;8,69438;
091203;0000;;;8,01833;
091204;0000;;;9,73972;
091205;0000;;;8,41132;
091206;0000;;;8,16302;
091207;0000;;;8,3335;
091208;0000;;;10,2341;
091209;0000;;;8,26616;
091210;0000;;;6,86182;
091211;0000;;;13,5489;
091212;0000;;;9,77533;
091213;0000;;;5,20084;
091214;0000;;;6,8561;
091215;0000;;;9,72856;
091216;0000;;;7,96017;
091217;0000;;;8,73299;
091218;0000;;;7,40189;
091219;0000;;;8,96365;
091220;0000;;;9,12212;
091221;0000;;;7,3959;
091222;0000;;;7,25317;
091223;0000;;;8,74066;
091224;0000;;;10,4751;
091225;0000;;;7,27011;
091226;0000;;;7,2636;
091227;0000;;;5,76294;
091228;0000;;;6,97965;
091229;0000;;;9,2318;
091230;0000;;;5,97116;
091231;0000;;;9,73537;
100101;0000;;;6,63638;
100102;0000;;;5,94025;
100103;0000;;;7,94603;
100104;0000;;;10,0972;
100105;0000;;;8,46465;
100106;0000;;;7,07575;
100107;0000;;;10,0531;
100108;0000;;;10,251;
100109;0000;;;11,1313;
100110;0000;;;13,64;
100111;0000;;;9,33157;
100112;0000;;;7,13216;
100113;0000;;;6,3892;
100114;0000;;;7,56361;
100115;0000;;;13,5224;
100116;0000;;;12,5256;
100117;0000;;;9,90195;
100118;0000;;;9,59708;
100119;0000;;;8,11824;
100120;0000;;;10,2999;
100121;0000;;;10,0636;
100122;0000;;;10,5549;
100123;0000;;;13,7055;
100124;0000;;;12,0161;
100125;0000;;;16,2385;
100126;0000;;;17,0242;
100127;0000;;;12,1919;
100128;0000;;;9,7849;
100129;0000;;;10,3959;
100130;0000;;;8,73245;
100131;0000;;;7,42074;
100201;0000;;;9,10321;
100202;0000;;;13,2925;
100203;0000;;;6,29428;
100204;0000;;;15,2018;
100205;0000;;;10,8947;
100206;0000;;;6,22801;
100207;0000;;;5,9576;
100208;0000;;;7,47531;
100209;0000;;;6,90938;
100210;0000;;;10,7313;
100211;0000;;;12,4695;
100212;0000;;;14,2168;
100213;0000;;;9,7067;
100214;0000;;;7,58326;
100215;0000;;;7,1363;
100216;0000;;;10,1952;
100217;0000;;;;
100218;0000;;;;
100219;0000;;;;
100220;0000;;;9,08789;
100221;0000;;;9,38312;
100222;0000;;;12,8057;
100223;0000;;;7,01964;
100224;0000;;;13,3518;
100225;0000;;;15,9965;
100226;0000;;;14,3422;
100227;0000;;;;
100228;0000;;;;
100301;0000;;;;
100302;0000;;;;
100303;0000;;;;
100304;0000;;;;
100305;0000;;;10,915;
100306;0000;;;10,0347;
100307;0000;;;11,5431;
100308;0000;;;7,54072;
100309;0000;;;7,97631;
100310;0000;;;20,1499;
100311;0000;;;24,84;
100312;0000;;;15,8511;
100313;0000;;;36,9885;
100314;0000;;;21,2794;
100315;0000;;;;
100316;0000;;;16,5277;
100317;0000;;;25,8222;
100318;0000;;;8,21162;
100319;0000;;;14,9968;
100320;0000;;;12,0582;
100321;0000;;;8,50003;
100322;0000;;;10,4718;
100323;0000;;;18,7746;
100324;0000;;;12,8983;
100325;0000;;;15,8716;
100326;0000;;;15,8265;
100327;0000;;;17,4341;
100328;0000;;;16,7805;
100329;0000;;;27,126;
100330;0000;;;38,225;
100331;0000;;;51,8101;
100401;0000;;;16,9355;
100402;0000;;;12,5505;
100403;0000;;;11,2468;
100404;0000;;;19,8192;
100405;0000;;;24,8095;
100406;0000;;;21,532;
100407;0000;;;53,0799;
100408;0000;;;53,5981;
100409;0000;;;44,5294;
100410;0000;;;48,9965;
100411;0000;;;20,7943;
100412;0000;;;20,1675;
100413;0000;;;22,7895;
100414;0000;;;37,3807;
100415;0000;;;58,3504;
100416;0000;;;44,5862;
100417;0000;;;19,5253;
100418;0000;;;28,6202;
100419;0000;;;28,9702;
100420;0000;;;28,4696;
100421;0000;;;28,6662;
100422;0000;;;29,3931;
100423;0000;;;55,2168;
100424;0000;;;79,6674;
100425;0000;;;54,1549;
100426;0000;;;83,9658;
100427;0000;;;100,562;
100428;0000;;;63,0409;
100429;0000;;;33,5649;
100430;0000;;;29,5512;
100501;0000;;;40,7107;
100502;0000;;;52,5786;
100503;0000;;;64,9766;
100504;0000;;;79,7588;
100505;0000;;;;
100506;0000;;;;
100507;0000;;;;
100508;0000;;;;
100509;0000;;;;
100510;0000;;;;
100511;0000;;;;
100512;0000;;;;
100513;0000;;;;
100514;0000;;;;
100515;0000;;;;
100516;0000;;;;
100517;0000;;;;
100518;0000;;;;
100519;0000;;;;
100520;0000;;;;
100521;0000;;;;
100522;0000;;;;
100523;0000;;;;
100524;0000;;;;
100525;0000;;;;
100526;0000;;;;
100527;0000;;;;
100528;0000;;;;
100529;0000;;;;
100530;0000;;;;
100531;0000;;;;
100601;0000;;;;
100602;0000;;;;
100603;0000;;;;
100604;0000;;;;
100605;0000;;;;
100606;0000;;;;
100607;0000;;;;
100608;0000;;;;
100609;0000;;;;
