FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
091222;0000;;;33,991;
091223;0000;;;38,7017;
091224;0000;;;32,6217;
091225;0000;;;17,8888;
091226;0000;;;20,7205;
091227;0000;;;21,5005;
091228;0000;;;21,5587;
091229;0000;;;14,689;
091230;0000;;;23,085;
091231;0000;;;23,6534;
100101;0000;;;14,5661;
100102;0000;;;17,4101;
100103;0000;;;18,3856;
100104;0000;;;29,6584;
100105;0000;;;17,7367;
100106;0000;;;14,4056;
100107;0000;;;19,6411;
100108;0000;;;16,3466;
100109;0000;;;17,2435;
100110;0000;;;17,9772;
100111;0000;;;14,872;
100112;0000;;;12,1105;
100113;0000;;;16,437;
100114;0000;;;19,2318;
100115;0000;;;28,2791;
100116;0000;;;22,0594;
100117;0000;;;14,7766;
100118;0000;;;17,3369;
100119;0000;;;20,2319;
100120;0000;;;29,5492;
100121;0000;;;22,5142;
100122;0000;;;23,1126;
100123;0000;;;24,4984;
100124;0000;;;21,366;
100125;0000;;;31,3271;
100126;0000;;;31,0912;
100127;0000;;;28,276;
100128;0000;;;17,6765;
100129;0000;;;24,4639;
100130;0000;;;16,8882;
100131;0000;;;16,9314;
100201;0000;;;21,621;
100202;0000;;;26,0212;
100203;0000;;;10,8915;
100204;0000;;;19,4482;
100205;0000;;;19,2323;
100206;0000;;;13,8099;
100207;0000;;;8,07785;
100208;0000;;;14,7747;
100209;0000;;;13,7394;
100210;0000;;;25,236;
100211;0000;;;32,742;
100212;0000;;;34,7607;
100213;0000;;;21,5164;
100214;0000;;;16,3462;
100215;0000;;;23,4383;
100216;0000;;;26,6827;
100217;0000;;;;
100218;0000;;;;
100219;0000;;;;
100220;0000;;;15,0566;
100221;0000;;;19,6888;
100222;0000;;;32,054;
100223;0000;;;20,0514;
100224;0000;;;30,6275;
100225;0000;;;33,4554;
100226;0000;;;43,3641;
100227;0000;;;;
100228;0000;;;;
100301;0000;;;;
100302;0000;;;;
100303;0000;;;;
100304;0000;;;;
100305;0000;;;25,3232;
100306;0000;;;27,3565;
100307;0000;;;19,4289;
100308;0000;;;14,3959;
100309;0000;;;19,188;
100310;0000;;;28,7627;
100311;0000;;;28,2482;
100312;0000;;;36,9006;
100313;0000;;;32,0264;
100314;0000;;;14,5371;
100315;0000;;;;
100316;0000;;;32,6028;
100317;0000;;;21,3462;
100318;0000;;;26,0022;
100319;0000;;;39,5287;
100320;0000;;;23,0528;
100321;0000;;;11,6058;
100322;0000;;;13,1417;
100323;0000;;;18,3975;
100324;0000;;;23,9355;
100325;0000;;;32,5944;
100326;0000;;;34,9382;
100327;0000;;;29,9881;
100328;0000;;;26,8183;
100329;0000;;;56,0425;
100330;0000;;;55,4239;
100331;0000;;;65,2438;
100401;0000;;;35,3099;
100402;0000;;;20,0879;
100403;0000;;;20,0767;
100404;0000;;;45,736;
100405;0000;;;58,8789;
100406;0000;;;54,4899;
100407;0000;;;92,151;
100408;0000;;;105,886;
100409;0000;;;67,0883;
100410;0000;;;71,9398;
100411;0000;;;34,9698;
100412;0000;;;34,937;
100413;0000;;;54,0551;
100414;0000;;;97,78;
100415;0000;;;109,067;
100416;0000;;;64,0338;
100417;0000;;;35,0042;
100418;0000;;;41,4279;
100419;0000;;;40,371;
100420;0000;;;36,6951;
100421;0000;;;36,8598;
100422;0000;;;38,3017;
100423;0000;;;80,9684;
100424;0000;;;97,8026;
100425;0000;;;68,24;
100426;0000;;;119,797;
100427;0000;;;162,216;
100428;0000;;;82,4376;
100429;0000;;;47,8711;
100430;0000;;;49,9552;
100501;0000;;;67,4507;
100502;0000;;;77,1206;
100503;0000;;;94,7607;
100504;0000;;;115,885;
100505;0000;;;;
100506;0000;;;;
100507;0000;;;;
100508;0000;;;;
100509;0000;;;;
100510;0000;;;;
100511;0000;;;;
100512;0000;;;;
100513;0000;;;;
100514;0000;;;;
100515;0000;;;;
100516;0000;;;;
100517;0000;;;;
100518;0000;;;;
100519;0000;;;;
100520;0000;;;;
100521;0000;;;;
100522;0000;;;;
100523;0000;;;;
100524;0000;;;;
100525;0000;;;;
100526;0000;;;;
